Acquisition Month,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,716,246,221,251,245,285,249,236,240,265,254,348,172
2011-01,332,69,82,81,110,90,82,86,104,102,124,45,NaN
2011-02,316,58,57,83,85,74,80,83,86,95,28,NaN,NaN
2011-03,388,63,100,76,83,67,98,85,107,38,NaN,NaN,NaN
2011-04,255,49,52,49,47,52,56,59,17,NaN,NaN,NaN,NaN
2011-05,249,40,43,36,52,58,61,22,NaN,NaN,NaN,NaN,NaN
2011-06,207,33,26,41,49,62,19,NaN,NaN,NaN,NaN,NaN,NaN
2011-07,173,28,31,38,44,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08,139,30,28,35,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-09,279,56,78,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-10,318,67,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-11,291,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-12,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
